lat,lon,sat,data_pas
  -9.3960,  30.8960,AQUA_M,2015-08-26 11:35:00
  -9.3590,  31.0920,AQUA_M,2015-08-26 11:35:00
  -9.3490,  31.0360,AQUA_M,2015-08-26 11:35:00
  -9.3310,  30.6400,AQUA_M,2015-08-26 11:35:00
  -9.3250,  31.2630,AQUA_M,2015-08-26 11:35:00
  -9.3210,  31.3540,AQUA_M,2015-08-26 11:35:00
  -9.2950,  31.0920,AQUA_M,2015-08-26 11:35:00
  -9.2950,  30.9570,AQUA_M,2015-08-26 11:35:00
  -9.1640,  31.1710,AQUA_M,2015-08-26 11:35:00
  -9.1620,  31.1800,AQUA_M,2015-08-26 11:35:00
  -9.1330,  30.9370,AQUA_M,2015-08-26 11:35:00
  -9.1320,  30.9460,AQUA_M,2015-08-26 11:35:00
  -9.1280,  31.1660,AQUA_M,2015-08-26 11:35:00
  -9.1060,  30.6040,AQUA_M,2015-08-26 11:35:00
  -9.0920,  30.7680,AQUA_M,2015-08-26 11:35:00
  -9.0890,  31.3070,AQUA_M,2015-08-26 11:35:00
  -9.0680,  30.8100,AQUA_M,2015-08-26 11:35:00
  -9.0550,  30.5170,AQUA_M,2015-08-26 11:35:00
  -9.0530,  30.5260,AQUA_M,2015-08-26 11:35:00
  -9.0380,  30.6990,AQUA_M,2015-08-26 11:35:00
  -9.0370,  30.7080,AQUA_M,2015-08-26 11:35:00
  -9.0340,  30.7900,AQUA_M,2015-08-26 11:35:00
  -9.0330,  30.7990,AQUA_M,2015-08-26 11:35:00
  -9.0320,  30.4860,AQUA_M,2015-08-26 11:35:00
  -9.0190,  30.7700,AQUA_M,2015-08-26 11:35:00
  -9.0180,  30.7790,AQUA_M,2015-08-26 11:35:00
  -9.0140,  30.7410,AQUA_M,2015-08-26 11:35:00
  -9.0120,  30.7500,AQUA_M,2015-08-26 11:35:00
  -9.0030,  30.7490,AQUA_M,2015-08-26 11:35:00
  -8.9970,  30.9230,AQUA_M,2015-08-26 11:35:00
  -8.9960,  30.9320,AQUA_M,2015-08-26 11:35:00
  -8.9800,  31.1040,AQUA_M,2015-08-26 11:35:00
  -8.9700,  31.2410,AQUA_M,2015-08-26 11:35:00
  -8.9650,  30.5620,AQUA_M,2015-08-26 11:35:00
  -8.9640,  30.5710,AQUA_M,2015-08-26 11:35:00
  -8.9610,  30.7180,AQUA_M,2015-08-26 11:35:00
  -8.9500,  30.8700,AQUA_M,2015-08-26 11:35:00
  -8.9490,  30.7350,AQUA_M,2015-08-26 11:35:00
  -8.9480,  30.8790,AQUA_M,2015-08-26 11:35:00
  -8.9470,  30.8880,AQUA_M,2015-08-26 11:35:00
  -8.9400,  30.7330,AQUA_M,2015-08-26 11:35:00
  -8.9420,  30.7240,AQUA_M,2015-08-26 11:35:00
  -8.9390,  30.7420,AQUA_M,2015-08-26 11:35:00
  -8.9370,  30.8890,AQUA_M,2015-08-26 11:35:00
  -8.9280,  30.8870,AQUA_M,2015-08-26 11:35:00
  -8.9250,  30.7130,AQUA_M,2015-08-26 11:35:00
  -8.9200,  30.8770,AQUA_M,2015-08-26 11:35:00
  -8.9120,  30.7380,AQUA_M,2015-08-26 11:35:00
  -8.9060,  30.9120,AQUA_M,2015-08-26 11:35:00
  -8.9050,  30.9210,AQUA_M,2015-08-26 11:35:00
  -8.9020,  31.0030,AQUA_M,2015-08-26 11:35:00
  -8.9010,  31.0120,AQUA_M,2015-08-26 11:35:00
  -8.8970,  30.9100,AQUA_M,2015-08-26 11:35:00
  -8.8960,  30.9190,AQUA_M,2015-08-26 11:35:00
  -8.8940,  30.4170,AQUA_M,2015-08-26 11:35:00
  -8.8930,  30.4260,AQUA_M,2015-08-26 11:35:00
  -8.8920,  31.0110,AQUA_M,2015-08-26 11:35:00
  -8.8840,  30.4250,AQUA_M,2015-08-26 11:35:00
  -8.8830,  30.4340,AQUA_M,2015-08-26 11:35:00
  -8.8820,  30.8900,AQUA_M,2015-08-26 11:35:00
  -8.8810,  30.4430,AQUA_M,2015-08-26 11:35:00
  -8.8560,  30.9410,AQUA_M,2015-08-26 11:35:00
  -8.8550,  30.9500,AQUA_M,2015-08-26 11:35:00
  -8.8250,  30.9030,AQUA_M,2015-08-26 11:35:00
  -8.8230,  30.9120,AQUA_M,2015-08-26 11:35:00
  -8.8200,  31.2580,AQUA_M,2015-08-26 11:35:00
  -8.8210,  31.2490,AQUA_M,2015-08-26 11:35:00
  -8.8110,  31.2570,AQUA_M,2015-08-26 11:35:00
  -8.8040,  30.7260,AQUA_M,2015-08-26 11:35:00
  -8.7960,  30.7250,AQUA_M,2015-08-26 11:35:00
  -8.7940,  30.7340,AQUA_M,2015-08-26 11:35:00
  -8.7770,  30.9790,AQUA_M,2015-08-26 11:35:00
  -8.7560,  31.2520,AQUA_M,2015-08-26 11:35:00
  -8.7000,  31.2560,AQUA_M,2015-08-26 11:35:00
  -8.7240,  30.4450,AQUA_M,2015-08-26 11:35:00
  -8.6670,  30.6570,AQUA_M,2015-08-26 11:35:00
  -8.6660,  30.6660,AQUA_M,2015-08-26 11:35:00
  -8.6640,  30.3530,AQUA_M,2015-08-26 11:35:00
  -8.6570,  30.6640,AQUA_M,2015-08-26 11:35:00
  -8.6550,  30.6730,AQUA_M,2015-08-26 11:35:00
  -8.6530,  30.7560,AQUA_M,2015-08-26 11:35:00
 -10.3260,  30.6320,AQUA_M,2015-08-26 11:35:00
 -10.2960,  30.6560,AQUA_M,2015-08-26 11:35:00
  -9.9810,  31.5020,AQUA_M,2015-08-26 11:35:00
  -9.7870,  31.5070,AQUA_M,2015-08-26 11:35:00
  -9.7860,  31.5160,AQUA_M,2015-08-26 11:35:00
  -9.6540,  31.4750,AQUA_M,2015-08-26 11:35:00
  -9.6420,  31.4920,AQUA_M,2015-08-26 11:35:00
  -9.5450,  31.5260,AQUA_M,2015-08-26 11:35:00
  -9.5290,  31.5050,AQUA_M,2015-08-26 11:35:00
  -9.4900,  31.4010,AQUA_M,2015-08-26 11:35:00
  -9.4910,  31.3920,AQUA_M,2015-08-26 11:35:00
  -9.4820,  31.3900,AQUA_M,2015-08-26 11:35:00
  -9.4810,  31.4000,AQUA_M,2015-08-26 11:35:00
  -9.4790,  31.4090,AQUA_M,2015-08-26 11:35:00
  -9.4180,  31.4550,AQUA_M,2015-08-26 11:35:00
  -9.3380,  31.4920,AQUA_M,2015-08-26 11:35:00
  -9.3370,  31.5010,AQUA_M,2015-08-26 11:35:00
  -9.2890,  31.3870,AQUA_M,2015-08-26 11:35:00
  -9.2880,  31.3960,AQUA_M,2015-08-26 11:35:00
  -9.2260,  31.3710,AQUA_M,2015-08-26 11:35:00
  -9.2240,  31.4540,AQUA_M,2015-08-26 11:35:00
  -9.2230,  31.5900,AQUA_M,2015-08-26 11:35:00
  -9.2220,  31.5990,AQUA_M,2015-08-26 11:35:00
  -9.1960,  31.3940,AQUA_M,2015-08-26 11:35:00
  -9.1940,  31.4030,AQUA_M,2015-08-26 11:35:00
  -9.1680,  31.4550,AQUA_M,2015-08-26 11:35:00
  -8.9430,  31.6140,AQUA_M,2015-08-26 11:35:00
